ds,Airports,Class,y
1/18/1988,ADL-PER,Economy,2395
1/25/1988,ADL-PER,Economy,2241
2/1/1988,ADL-PER,Economy,1929
2/8/1988,ADL-PER,Economy,2247
2/15/1988,ADL-PER,Economy,2764
2/22/1988,ADL-PER,Economy,2001
2/29/1988,ADL-PER,Economy,2169
3/7/1988,ADL-PER,Economy,1955
3/14/1988,ADL-PER,Economy,2516
3/21/1988,ADL-PER,Economy,2353
3/28/1988,ADL-PER,Economy,2299
4/4/1988,ADL-PER,Economy,2473
4/11/1988,ADL-PER,Economy,2412
4/18/1988,ADL-PER,Economy,2231
4/25/1988,ADL-PER,Economy,2224
5/2/1988,ADL-PER,Economy,2150
5/9/1988,ADL-PER,Economy,2063
5/16/1988,ADL-PER,Economy,2014
5/23/1988,ADL-PER,Economy,1717
5/30/1988,ADL-PER,Economy,1627
6/6/1988,ADL-PER,Economy,1969
6/13/1988,ADL-PER,Economy,1958
6/20/1988,ADL-PER,Economy,2014
6/27/1988,ADL-PER,Economy,2320
7/4/1988,ADL-PER,Economy,2173
7/11/1988,ADL-PER,Economy,2152
7/18/1988,ADL-PER,Economy,1887
7/25/1988,ADL-PER,Economy,1939
8/1/1988,ADL-PER,Economy,2565
8/8/1988,ADL-PER,Economy,2247
8/15/1988,ADL-PER,Economy,2291
8/22/1988,ADL-PER,Economy,1978
8/29/1988,ADL-PER,Economy,2243
9/5/1988,ADL-PER,Economy,2299
9/12/1988,ADL-PER,Economy,2790
9/19/1988,ADL-PER,Economy,2615
9/26/1988,ADL-PER,Economy,2058
10/3/1988,ADL-PER,Economy,2631
10/10/1988,ADL-PER,Economy,2240
10/17/1988,ADL-PER,Economy,2436
10/24/1988,ADL-PER,Economy,1957
10/31/1988,ADL-PER,Economy,2244
11/7/1988,ADL-PER,Economy,2308
11/14/1988,ADL-PER,Economy,1946
11/21/1988,ADL-PER,Economy,2190
11/28/1988,ADL-PER,Economy,2220
12/5/1988,ADL-PER,Economy,2723
12/12/1988,ADL-PER,Economy,2951
12/19/1988,ADL-PER,Economy,1742
12/26/1988,ADL-PER,Economy,2453
1/2/1989,ADL-PER,Economy,2469
1/9/1989,ADL-PER,Economy,2429
1/16/1989,ADL-PER,Economy,2391
1/23/1989,ADL-PER,Economy,2054
1/30/1989,ADL-PER,Economy,2127
2/6/1989,ADL-PER,Economy,2103
2/13/1989,ADL-PER,Economy,1958
2/20/1989,ADL-PER,Economy,2234
2/27/1989,ADL-PER,Economy,2030
3/6/1989,ADL-PER,Economy,2427
3/13/1989,ADL-PER,Economy,2733
3/20/1989,ADL-PER,Economy,2599
3/27/1989,ADL-PER,Economy,2639
4/3/1989,ADL-PER,Economy,2508
4/10/1989,ADL-PER,Economy,2379
4/17/1989,ADL-PER,Economy,2262
4/24/1989,ADL-PER,Economy,2502
5/1/1989,ADL-PER,Economy,2080
5/8/1989,ADL-PER,Economy,1930
5/15/1989,ADL-PER,Economy,1696
5/22/1989,ADL-PER,Economy,2014
5/29/1989,ADL-PER,Economy,1611
6/5/1989,ADL-PER,Economy,1759
6/12/1989,ADL-PER,Economy,1962
6/19/1989,ADL-PER,Economy,2060
6/26/1989,ADL-PER,Economy,2486
7/3/1989,ADL-PER,Economy,2481
7/10/1989,ADL-PER,Economy,2245
7/17/1989,ADL-PER,Economy,2215
7/24/1989,ADL-PER,Economy,1748
7/31/1989,ADL-PER,Economy,1647
8/7/1989,ADL-PER,Economy,1698
8/14/1989,ADL-PER,Economy,965
8/21/1989,ADL-PER,Economy,0
8/28/1989,ADL-PER,Economy,0
9/4/1989,ADL-PER,Economy,0
9/11/1989,ADL-PER,Economy,0
9/18/1989,ADL-PER,Economy,0
9/25/1989,ADL-PER,Economy,0
10/2/1989,ADL-PER,Economy,0
10/9/1989,ADL-PER,Economy,0
10/16/1989,ADL-PER,Economy,0
10/23/1989,ADL-PER,Economy,109
10/30/1989,ADL-PER,Economy,87
11/6/1989,ADL-PER,Economy,63
11/13/1989,ADL-PER,Economy,47
11/20/1989,ADL-PER,Economy,0
11/27/1989,ADL-PER,Economy,0
12/4/1989,ADL-PER,Economy,167
12/11/1989,ADL-PER,Economy,1428
12/18/1989,ADL-PER,Economy,1143
12/25/1989,ADL-PER,Economy,1242
1/1/1990,ADL-PER,Economy,1258
1/8/1990,ADL-PER,Economy,1438
1/15/1990,ADL-PER,Economy,1098
1/22/1990,ADL-PER,Economy,1321
1/29/1990,ADL-PER,Economy,1307
2/5/1990,ADL-PER,Economy,1398
2/12/1990,ADL-PER,Economy,1300
2/19/1990,ADL-PER,Economy,1330
2/26/1990,ADL-PER,Economy,1652
3/5/1990,ADL-PER,Economy,1427
3/12/1990,ADL-PER,Economy,1882
3/19/1990,ADL-PER,Economy,2120
3/26/1990,ADL-PER,Economy,2317
4/2/1990,ADL-PER,Economy,2514
4/9/1990,ADL-PER,Economy,2298
4/16/1990,ADL-PER,Economy,2351
4/23/1990,ADL-PER,Economy,2104
4/30/1990,ADL-PER,Economy,1731
5/7/1990,ADL-PER,Economy,1620
5/14/1990,ADL-PER,Economy,1475
5/21/1990,ADL-PER,Economy,1423
5/28/1990,ADL-PER,Economy,1538
6/4/1990,ADL-PER,Economy,1549
6/11/1990,ADL-PER,Economy,1559
6/18/1990,ADL-PER,Economy,1945
6/25/1990,ADL-PER,Economy,2415
7/2/1990,ADL-PER,Economy,2345
7/9/1990,ADL-PER,Economy,2183
7/16/1990,ADL-PER,Economy,2036
7/23/1990,ADL-PER,Economy,1685
7/30/1990,ADL-PER,Economy,1728
8/6/1990,ADL-PER,Economy,1799
8/13/1990,ADL-PER,Economy,1981
8/20/1990,ADL-PER,Economy,1986
8/27/1990,ADL-PER,Economy,2101
9/3/1990,ADL-PER,Economy,2331
9/10/1990,ADL-PER,Economy,2642
9/17/1990,ADL-PER,Economy,1538
9/24/1990,ADL-PER,Economy,2501
10/1/1990,ADL-PER,Economy,2653
10/8/1990,ADL-PER,Economy,2283
10/15/1990,ADL-PER,Economy,2209
10/22/1990,ADL-PER,Economy,2152
10/29/1990,ADL-PER,Economy,2200
11/5/1990,ADL-PER,Economy,1970
11/12/1990,ADL-PER,Economy,1864
11/19/1990,ADL-PER,Economy,1965
11/26/1990,ADL-PER,Economy,1990
12/3/1990,ADL-PER,Economy,1977
12/10/1990,ADL-PER,Economy,2697
12/17/1990,ADL-PER,Economy,2238
12/24/1990,ADL-PER,Economy,2323
1/7/1991,ADL-PER,Economy,2653
1/14/1991,ADL-PER,Economy,2453
1/21/1991,ADL-PER,Economy,1474
1/28/1991,ADL-PER,Economy,2437
2/4/1991,ADL-PER,Economy,1905
2/11/1991,ADL-PER,Economy,1860
2/18/1991,ADL-PER,Economy,1806
2/25/1991,ADL-PER,Economy,1866
3/4/1991,ADL-PER,Economy,1581
3/11/1991,ADL-PER,Economy,1790
3/18/1991,ADL-PER,Economy,2210
3/25/1991,ADL-PER,Economy,1928
4/1/1991,ADL-PER,Economy,1805
4/8/1991,ADL-PER,Economy,2073
4/15/1991,ADL-PER,Economy,2227
4/22/1991,ADL-PER,Economy,1925
4/29/1991,ADL-PER,Economy,2018
5/6/1991,ADL-PER,Economy,1924
5/13/1991,ADL-PER,Economy,1595
5/20/1991,ADL-PER,Economy,1665
5/27/1991,ADL-PER,Economy,1664
6/3/1991,ADL-PER,Economy,1640
6/10/1991,ADL-PER,Economy,1494
6/17/1991,ADL-PER,Economy,1682
6/24/1991,ADL-PER,Economy,1776
7/1/1991,ADL-PER,Economy,2008
7/8/1991,ADL-PER,Economy,2129
7/15/1991,ADL-PER,Economy,2284
7/22/1991,ADL-PER,Economy,2030
7/29/1991,ADL-PER,Economy,2024
8/5/1991,ADL-PER,Economy,2022
8/12/1991,ADL-PER,Economy,2036
8/19/1991,ADL-PER,Economy,2070
8/26/1991,ADL-PER,Economy,2286
9/2/1991,ADL-PER,Economy,2305
9/9/1991,ADL-PER,Economy,2426
9/16/1991,ADL-PER,Economy,2483
9/23/1991,ADL-PER,Economy,2697
9/30/1991,ADL-PER,Economy,2617
10/7/1991,ADL-PER,Economy,2605
10/14/1991,ADL-PER,Economy,2560
10/21/1991,ADL-PER,Economy,2655
10/28/1991,ADL-PER,Economy,2376
11/4/1991,ADL-PER,Economy,2442
11/11/1991,ADL-PER,Economy,2509
11/18/1991,ADL-PER,Economy,2649
11/25/1991,ADL-PER,Economy,2501
12/2/1991,ADL-PER,Economy,2496
12/9/1991,ADL-PER,Economy,2711
12/16/1991,ADL-PER,Economy,2913
12/23/1991,ADL-PER,Economy,2909
12/30/1991,ADL-PER,Economy,3163
1/6/1992,ADL-PER,Economy,3305
1/13/1992,ADL-PER,Economy,3036
1/20/1992,ADL-PER,Economy,2977
1/27/1992,ADL-PER,Economy,2444
2/3/1992,ADL-PER,Economy,2480
2/10/1992,ADL-PER,Economy,2393
2/17/1992,ADL-PER,Economy,2282
2/24/1992,ADL-PER,Economy,2417
3/2/1992,ADL-PER,Economy,2266
3/9/1992,ADL-PER,Economy,2353
3/16/1992,ADL-PER,Economy,2354
3/23/1992,ADL-PER,Economy,1670
3/30/1992,ADL-PER,Economy,1612
4/6/1992,ADL-PER,Economy,1485
4/13/1992,ADL-PER,Economy,1934
4/20/1992,ADL-PER,Economy,1856
4/27/1992,ADL-PER,Economy,1776
5/4/1992,ADL-PER,Economy,1629
5/11/1992,ADL-PER,Economy,1427
5/18/1992,ADL-PER,Economy,1558
5/25/1992,ADL-PER,Economy,1480
6/1/1992,ADL-PER,Economy,1416
6/8/1992,ADL-PER,Economy,1768
6/15/1992,ADL-PER,Economy,1888
6/22/1992,ADL-PER,Economy,2242
6/29/1992,ADL-PER,Economy,2692
7/6/1992,ADL-PER,Economy,2519
7/13/1992,ADL-PER,Economy,2535
7/20/1992,ADL-PER,Economy,2534
7/27/1992,ADL-PER,Economy,2700
8/3/1992,ADL-PER,Economy,2578
8/10/1992,ADL-PER,Economy,2488
8/17/1992,ADL-PER,Economy,2681
8/24/1992,ADL-PER,Economy,2634
8/31/1992,ADL-PER,Economy,2483
9/7/1992,ADL-PER,Economy,2753
9/14/1992,ADL-PER,Economy,2837
9/21/1992,ADL-PER,Economy,3048
9/28/1992,ADL-PER,Economy,3061
10/5/1992,ADL-PER,Economy,2943
10/12/1992,ADL-PER,Economy,2789
10/19/1992,ADL-PER,Economy,2823
10/26/1992,ADL-PER,Economy,2799
11/2/1992,ADL-PER,Economy,2650
11/9/1992,ADL-PER,Economy,3059
11/16/1992,ADL-PER,Economy,2783
11/23/1992,ADL-PER,Economy,2722
6/29/1987,ADL-PER,First,252
7/6/1987,ADL-PER,First,193
7/13/1987,ADL-PER,First,159
7/20/1987,ADL-PER,First,219
7/27/1987,ADL-PER,First,192
8/3/1987,ADL-PER,First,219
8/10/1987,ADL-PER,First,191
8/17/1987,ADL-PER,First,229
8/24/1987,ADL-PER,First,197
8/31/1987,ADL-PER,First,209
9/7/1987,ADL-PER,First,204
9/14/1987,ADL-PER,First,195
9/21/1987,ADL-PER,First,214
9/28/1987,ADL-PER,First,219
10/5/1987,ADL-PER,First,289
10/12/1987,ADL-PER,First,233
10/19/1987,ADL-PER,First,286
10/26/1987,ADL-PER,First,262
11/2/1987,ADL-PER,First,183
11/9/1987,ADL-PER,First,341
11/16/1987,ADL-PER,First,328
11/23/1987,ADL-PER,First,222
11/30/1987,ADL-PER,First,223
12/7/1987,ADL-PER,First,250
12/14/1987,ADL-PER,First,173
12/21/1987,ADL-PER,First,64
12/28/1987,ADL-PER,First,38
1/4/1988,ADL-PER,First,67
1/4/1988,ADL-PER,First,112
1/11/1988,ADL-PER,First,120
1/18/1988,ADL-PER,First,129
1/25/1988,ADL-PER,First,159
2/1/1988,ADL-PER,First,308
2/8/1988,ADL-PER,First,227
2/15/1988,ADL-PER,First,316
2/22/1988,ADL-PER,First,232
2/29/1988,ADL-PER,First,223
3/7/1988,ADL-PER,First,243
3/14/1988,ADL-PER,First,186
3/21/1988,ADL-PER,First,100
3/28/1988,ADL-PER,First,149
4/4/1988,ADL-PER,First,264
4/11/1988,ADL-PER,First,303
4/18/1988,ADL-PER,First,255
4/25/1988,ADL-PER,First,242
5/2/1988,ADL-PER,First,260
5/9/1988,ADL-PER,First,241
5/16/1988,ADL-PER,First,234
5/23/1988,ADL-PER,First,214
5/30/1988,ADL-PER,First,164
6/6/1988,ADL-PER,First,219
6/13/1988,ADL-PER,First,186
6/20/1988,ADL-PER,First,195
6/27/1988,ADL-PER,First,180
7/4/1988,ADL-PER,First,181
7/11/1988,ADL-PER,First,219
7/18/1988,ADL-PER,First,191
7/25/1988,ADL-PER,First,211
8/1/1988,ADL-PER,First,196
8/8/1988,ADL-PER,First,198
8/15/1988,ADL-PER,First,204
8/22/1988,ADL-PER,First,208
8/29/1988,ADL-PER,First,220
9/5/1988,ADL-PER,First,199
9/12/1988,ADL-PER,First,253
9/19/1988,ADL-PER,First,161
9/26/1988,ADL-PER,First,109
10/3/1988,ADL-PER,First,180
10/10/1988,ADL-PER,First,175
10/17/1988,ADL-PER,First,200
10/24/1988,ADL-PER,First,167
10/31/1988,ADL-PER,First,277
11/7/1988,ADL-PER,First,339
11/14/1988,ADL-PER,First,203
11/21/1988,ADL-PER,First,264
11/28/1988,ADL-PER,First,204
12/5/1988,ADL-PER,First,164
12/12/1988,ADL-PER,First,134
12/19/1988,ADL-PER,First,47
12/26/1988,ADL-PER,First,51
1/2/1989,ADL-PER,First,143
1/9/1989,ADL-PER,First,141
1/16/1989,ADL-PER,First,150
1/23/1989,ADL-PER,First,142
1/30/1989,ADL-PER,First,194
2/6/1989,ADL-PER,First,210
2/13/1989,ADL-PER,First,218
2/20/1989,ADL-PER,First,156
2/27/1989,ADL-PER,First,193
3/6/1989,ADL-PER,First,296
3/13/1989,ADL-PER,First,142
3/20/1989,ADL-PER,First,136
3/27/1989,ADL-PER,First,226
4/3/1989,ADL-PER,First,217
4/10/1989,ADL-PER,First,177
4/17/1989,ADL-PER,First,167
4/24/1989,ADL-PER,First,194
5/1/1989,ADL-PER,First,163
5/8/1989,ADL-PER,First,181
5/15/1989,ADL-PER,First,208
5/22/1989,ADL-PER,First,225
5/29/1989,ADL-PER,First,172
6/5/1989,ADL-PER,First,158
6/12/1989,ADL-PER,First,188
6/19/1989,ADL-PER,First,141
6/26/1989,ADL-PER,First,183
7/3/1989,ADL-PER,First,158
7/10/1989,ADL-PER,First,159
7/17/1989,ADL-PER,First,132
7/24/1989,ADL-PER,First,94
7/31/1989,ADL-PER,First,200
8/7/1989,ADL-PER,First,152
8/14/1989,ADL-PER,First,91
8/21/1989,ADL-PER,First,0
8/28/1989,ADL-PER,First,0
9/4/1989,ADL-PER,First,0
9/11/1989,ADL-PER,First,0
9/18/1989,ADL-PER,First,0
9/25/1989,ADL-PER,First,0
10/2/1989,ADL-PER,First,0
10/9/1989,ADL-PER,First,0
10/16/1989,ADL-PER,First,0
10/23/1989,ADL-PER,First,8
10/30/1989,ADL-PER,First,13
11/6/1989,ADL-PER,First,0
11/13/1989,ADL-PER,First,0
11/20/1989,ADL-PER,First,0
11/27/1989,ADL-PER,First,0
12/4/1989,ADL-PER,First,10
12/11/1989,ADL-PER,First,99
12/18/1989,ADL-PER,First,27
12/25/1989,ADL-PER,First,43
1/1/1990,ADL-PER,First,68
1/8/1990,ADL-PER,First,91
1/15/1990,ADL-PER,First,92
1/22/1990,ADL-PER,First,85
1/29/1990,ADL-PER,First,140
2/5/1990,ADL-PER,First,109
2/12/1990,ADL-PER,First,119
2/19/1990,ADL-PER,First,138
2/26/1990,ADL-PER,First,129
3/5/1990,ADL-PER,First,134
3/12/1990,ADL-PER,First,205
3/19/1990,ADL-PER,First,185
3/26/1990,ADL-PER,First,160
4/2/1990,ADL-PER,First,95
4/9/1990,ADL-PER,First,120
4/16/1990,ADL-PER,First,109
4/23/1990,ADL-PER,First,159
4/30/1990,ADL-PER,First,134
5/7/1990,ADL-PER,First,119
5/14/1990,ADL-PER,First,121
5/21/1990,ADL-PER,First,125
5/28/1990,ADL-PER,First,113
6/4/1990,ADL-PER,First,107
6/11/1990,ADL-PER,First,118
6/18/1990,ADL-PER,First,110
6/25/1990,ADL-PER,First,105
7/2/1990,ADL-PER,First,109
7/9/1990,ADL-PER,First,108
7/16/1990,ADL-PER,First,113
7/23/1990,ADL-PER,First,104
7/30/1990,ADL-PER,First,145
8/6/1990,ADL-PER,First,123
8/13/1990,ADL-PER,First,97
8/20/1990,ADL-PER,First,99
8/27/1990,ADL-PER,First,140
9/3/1990,ADL-PER,First,135
9/10/1990,ADL-PER,First,151
9/17/1990,ADL-PER,First,59
9/24/1990,ADL-PER,First,82
10/1/1990,ADL-PER,First,131
10/8/1990,ADL-PER,First,132
10/15/1990,ADL-PER,First,160
10/22/1990,ADL-PER,First,171
10/29/1990,ADL-PER,First,164
11/5/1990,ADL-PER,First,145
11/12/1990,ADL-PER,First,140
11/19/1990,ADL-PER,First,130
11/26/1990,ADL-PER,First,156
12/3/1990,ADL-PER,First,161
12/10/1990,ADL-PER,First,125
12/17/1990,ADL-PER,First,15
12/24/1990,ADL-PER,First,41
1/7/1991,ADL-PER,First,59
1/14/1991,ADL-PER,First,81
1/21/1991,ADL-PER,First,69
1/28/1991,ADL-PER,First,89
2/4/1991,ADL-PER,First,93
2/11/1991,ADL-PER,First,136
2/18/1991,ADL-PER,First,158
2/25/1991,ADL-PER,First,139
3/4/1991,ADL-PER,First,116
3/11/1991,ADL-PER,First,122
3/18/1991,ADL-PER,First,151
3/25/1991,ADL-PER,First,79
4/1/1991,ADL-PER,First,73
4/8/1991,ADL-PER,First,126
4/15/1991,ADL-PER,First,129
4/22/1991,ADL-PER,First,69
4/29/1991,ADL-PER,First,115
5/6/1991,ADL-PER,First,101
5/13/1991,ADL-PER,First,100
5/20/1991,ADL-PER,First,106
5/27/1991,ADL-PER,First,97
6/3/1991,ADL-PER,First,65
6/10/1991,ADL-PER,First,109
6/17/1991,ADL-PER,First,104
6/24/1991,ADL-PER,First,96
7/1/1991,ADL-PER,First,58
7/8/1991,ADL-PER,First,71
7/15/1991,ADL-PER,First,79
7/22/1991,ADL-PER,First,76
7/29/1991,ADL-PER,First,70
8/5/1991,ADL-PER,First,86
8/12/1991,ADL-PER,First,91
8/19/1991,ADL-PER,First,63
8/26/1991,ADL-PER,First,79
9/2/1991,ADL-PER,First,110
9/9/1991,ADL-PER,First,70
9/16/1991,ADL-PER,First,75
9/23/1991,ADL-PER,First,91
9/30/1991,ADL-PER,First,74
10/7/1991,ADL-PER,First,76
10/14/1991,ADL-PER,First,80
10/21/1991,ADL-PER,First,117
10/28/1991,ADL-PER,First,73
11/4/1991,ADL-PER,First,99
11/11/1991,ADL-PER,First,93
11/18/1991,ADL-PER,First,61
11/25/1991,ADL-PER,First,107
12/2/1991,ADL-PER,First,65
12/9/1991,ADL-PER,First,84
12/16/1991,ADL-PER,First,101
12/23/1991,ADL-PER,First,38
12/30/1991,ADL-PER,First,43
1/6/1992,ADL-PER,First,58
1/13/1992,ADL-PER,First,75
1/20/1992,ADL-PER,First,87
1/27/1992,ADL-PER,First,61
2/3/1992,ADL-PER,First,149
2/10/1992,ADL-PER,First,228
2/17/1992,ADL-PER,First,142
2/24/1992,ADL-PER,First,175
3/2/1992,ADL-PER,First,163
3/9/1992,ADL-PER,First,192
3/16/1992,ADL-PER,First,181
3/23/1992,ADL-PER,First,321
3/30/1992,ADL-PER,First,236
4/6/1992,ADL-PER,First,252
4/13/1992,ADL-PER,First,203
4/20/1992,ADL-PER,First,195
4/27/1992,ADL-PER,First,226
5/4/1992,ADL-PER,First,218
5/11/1992,ADL-PER,First,212
5/18/1992,ADL-PER,First,231
5/25/1992,ADL-PER,First,207
6/1/1992,ADL-PER,First,160
6/8/1992,ADL-PER,First,134
6/15/1992,ADL-PER,First,155
6/22/1992,ADL-PER,First,174
